select iso, name_en,area_pct,name,wikidata from osm_admin2_continent_all order by iso ;
  iso   |                   name_en                    |     area_pct      |                        name                        | wikidata  
--------+----------------------------------------------+-------------------+----------------------------------------------------+-----------
 ao     | Angola                                       |                 1 | Angola                                             | Q916
 ao-bgo |                                              |                 1 | Bengo                                              | Q191299
 ao-bgu |                                              |                 1 | Benguela                                           | Q212786
 ao-bie |                                              |                 1 | Bié                                                | Q213977
 ao-cab |                                              |                 1 | Cabinda                                            | Q168787
 ao-ccu |                                              |                 1 | Cuando Cubango                                     | Q215268
 ao-cnn |                                              |                 1 | Cunene                                             | Q216987
 ao-cno |                                              |                 1 | Cuanza Norte                                       | Q216834
 ao-cus |                                              |                 1 | Cuanza Sul                                         | Q216998
 ao-hua |                                              |                 1 | Huambo                                             | Q218848
 ao-hui |                                              |                 1 | Huíla                                              | Q214572
 ao-lno |                                              |                 1 | Lunda Norte                                        | Q214221
 ao-lsu |                                              |                 1 | Lunda Sul                                          | Q219648
 ao-lua |                                              |                 1 | Luanda                                             | Q190066
 ao-mal |                                              |                 1 | Malanje                                            | Q219072
 ao-mox |                                              |                 1 | Moxico                                             | Q173988
 ao-nam | Namibe                                       |                 1 | Namibe                                             | Q216819
 ao-uig |                                              |                 1 | Uíge                                               | Q216972
 ao-zai |                                              |                 1 | Zaire                                              | Q196674
 bf     | Burkina Faso                                 |                 1 | Burkina Faso                                       | Q965
 bf-01  | Boucle du Mouhoun                            |                 1 | Boucle du Mouhoun                                  | Q527093
 bf-02  | Waterfalls                                   |                 1 | Cascades                                           | Q850043
 bf-03  | Centre                                       |                 1 | Centre                                             | Q515655
 bf-04  | Central-East                                 |                 1 | Centre-Est                                         | Q543006
 bf-05  | Central-North                                |                 1 | Centre-Nord                                        | Q850064
 bf-06  | Central-West                                 |                 1 | Centre-Ouest                                       | Q850075
 bf-07  | Central-South                                |                 1 | Centre-Sud                                         | Q853405
 bf-08  | East                                         |                 1 | Est                                                | Q850088
 bf-09  | Upper-Basins                                 |                 1 | Hauts-Bassins                                      | Q845303
 bf-10  | North                                        |                 1 | Nord                                               | Q502320
 bf-11  | Central-Plateau                              |                 1 | Plateau-Central                                    | Q862606
 bf-12  | Sahel                                        |                 1 | Sahel                                              | Q665514
 bf-13  | Southwest                                    |                 1 | Sud-Ouest                                          | Q429149
 bf-bal |                                              |                 1 | Balé                                               | Q805913
 bf-bam |                                              |                 1 | Bam                                                | Q620710
 bf-ban |                                              |                 1 | Banwa                                              | Q674664
 bf-baz |                                              |                 1 | Bazèga                                             | Q619764
 bf-bgr |                                              |                 1 | Bougouriba                                         | Q676641
 bf-blg |                                              |                 1 | Boulgou                                            | Q895097
 bf-blk |                                              |                 1 | Boulkiemdé                                         | Q895102
 bf-com |                                              |                 1 | Comoé                                              | Q1074496
 bf-gan |                                              |                 1 | Ganzourgou                                         | Q182889
 bf-gna |                                              |                 1 | Gnagna                                             | Q1074144
 bf-gou |                                              |                 1 | Gourma                                             | Q432317
 bf-hou |                                              |                 1 | Houet                                              | Q1074161
 bf-iob |                                              |                 1 | Ioba                                               | Q1074154
 bf-kad |                                              |                 1 | Kadiogo                                            | Q1074530
 bf-ken |                                              |                 1 | Kénédougou                                         | Q1150901
 bf-kmd |                                              |                 1 | Komondjari                                         | Q1074479
 bf-kmp |                                              |                 1 | Kompienga                                          | Q1142059
 bf-kop |                                              |                 1 | Koulpélogo                                         | Q934923
 bf-kos |                                              |                 1 | Kossi                                              | Q1074485
 bf-kot |                                              |                 1 | Kouritenga                                         | Q1141767
 bf-kow |                                              |                 1 | Kourwéogo                                          | Q661376
 bf-ler |                                              |                 1 | Léraba                                             | Q977607
 bf-lor |                                              |                 1 | Loroum                                             | Q1142054
 bf-mou |                                              |                 1 | Mouhoun                                            | Q1142050
 bf-nam |                                              |                 1 | Namentenga                                         | Q1142044
 bf-nao |                                              |                 1 | Nahouri                                            | Q1142003
 bf-nay |                                              |                 1 | Nayala                                             | Q1141776
 bf-nou |                                              |                 1 | Noumbiel                                           | Q646647
 bf-oub |                                              |                 1 | Oubritenga                                         | Q1142026
 bf-oud |                                              |                 1 | Oudalan                                            | Q514173
 bf-pas |                                              |                 1 | Passoré                                            | Q1142008
 bf-pon |                                              |                 1 | Poni                                               | Q953657
 bf-sen |                                              |                 1 | Séno                                               | Q1061214
 bf-sis |                                              |                 1 | Sissili                                            | Q964281
 bf-smt |                                              |                 1 | Sanmatenga                                         | Q1142039
 bf-sng |                                              |                 1 | Sanguié                                            | Q1142014
 bf-som |                                              |                 1 | Soum                                               | Q385973
 bf-sor |                                              |                 1 | Sourou                                             | Q558703
 bf-tap |                                              |                 1 | Tapoa                                              | Q621983
 bf-tui |                                              |                 1 | Tuy                                                | Q627844
 bf-yag |                                              |                 1 | Yagha                                              | Q1074466
 bf-yat |                                              |                 1 | Yatenga                                            | Q1074521
 bf-zir |                                              |                 1 | Ziro                                               | Q206019
 bf-zon |                                              |                 1 | Zondoma                                            | Q219859
 bf-zou |                                              |                 1 | Zoundwéogo                                         | Q227059
 bi     | Burundi                                      |                 1 | Burundi                                            | Q967
 bi-bb  |                                              |                 1 | Bubanza                                            | Q460538
 bi-bl  |                                              |                 1 | Bujumbura Rural                                    | Q645043
 bi-bm  |                                              |                 1 | Bujumbura Mairie                                   | Q1816580
 bi-br  |                                              |                 1 | Bururi                                             | Q431385
 bi-ca  |                                              |                 1 | Cankuzo                                            | Q645033
 bi-ci  |                                              |                 1 | Cibitoke                                           | Q505596
 bi-gi  |                                              |                 1 | Gitega                                             | Q720843
 bi-ki  |                                              |                 1 | Kirundo                                            | Q600840
 bi-kr  |                                              |                 1 | Karuzi                                             | Q735463
 bi-ky  |                                              |                 1 | Kayanza                                            | Q720848
 bi-ma  |                                              |                 1 | Makamba                                            | Q823740
 bi-mu  |                                              |                 1 | Muramvya                                           | Q671086
 bi-mw  |                                              |                 1 | Mwaro                                              | Q847718
 bi-my  |                                              |                 1 | Muyinga                                            | Q822571
 bi-ng  |                                              |                 1 | Ngozi                                              | Q720852
 bi-rm  |                                              |                 1 | Rumonge                                            | Q20669646
 bi-rt  |                                              |                 1 | Rutana                                             | Q822566
 bi-ry  |                                              |                 1 | Ruyigi                                             | Q822578
 bj     | Benin                                        |                 1 | Bénin                                              | Q962
 bj-ak  |                                              |                 1 | Atakora                                            | Q29154
 bj-al  |                                              |                 1 | Alibori                                            | Q29165
 bj-aq  |                                              |                 1 | Atlantique                                         | Q29147
 bj-bo  |                                              |                 1 | Borgou                                             | Q29136
 bj-co  |                                              |                 1 | Collines                                           | Q29141
 bj-do  |                                              |                 1 | Donga                                              | Q29161
 bj-ko  |                                              |                 1 | Kouffo                                             | Q29173
 bj-li  |                                              |                 1 | Littoral                                           | Q29158
 bj-mo  |                                              |                 1 | Mono                                               | Q29135
 bj-ou  |                                              |                 1 | Ouémé                                              | Q29169
 bj-pl  |                                              |                 1 | Plateau                                            | Q32108
 bj-zo  |                                              |                 1 | Zou                                                | Q29172
 bv     | Bouvet Island                                |                 1 | Bouvetøya                                          | Q23408
 bw     | Botswana                                     |                 1 | Botswana                                           | Q963
 bw-ce  | Central District                             |                 1 | Central District                                   | Q57525
 bw-ch  |                                              |                 1 | Chobe District                                     | Q165536
 bw-gh  | Ghanzi District                              |                 1 | Ghanzi District                                    | Q57571
 bw-kg  | Kgalagadi District                           |                 1 | Kgalagadi District                                 | Q57581
 bw-kl  | Kgatleng District                            |                 1 | Kgatleng District                                  | Q57593
 bw-kw  | Kweneng District                             |                 1 | Kweneng District                                   | Q57599
 bw-ne  | North-East District                          |                 1 | North-East District                                | Q57636
 bw-nw  | North-West District                          |                 1 | North-West District                                | Q57617
 bw-se  | South-East District                          |                 1 | South-East District                                | Q57695
 bw-so  | Southern District                            |                 1 | Southern District                                  | Q57609
 cd     | Democratic Republic of the Congo             |                 1 | République démocratique du Congo                   | Q974
 cd-bc  |                                              |                 1 | Kongo-Central                                      | Q130588
 cd-bu  | Lower Uele                                   |                 1 | Bas-Uele                                           | Q652056
 cd-eq  |                                              |                 1 | Équateur                                           | Q988104
 cd-hk  |                                              |                 1 | Haut-Katanga                                       | Q130268
 cd-hl  |                                              |                 1 | Haut-Lomami                                        | Q605672
 cd-hu  | Upper Uele                                   |                 1 | Haut-Uele                                          | Q751632
 cd-it  |                                              |                 1 | Ituri                                              | Q750659
 cd-kc  | Central Kasai                                |                 1 | Kasaï-Central                                      | Q6702952
 cd-ke  | Kasai-Oriental                               |                 1 | Kasaï-Oriental                                     | Q917992
 cd-kg  |                                              |                 1 | Kwango                                             | Q757095
 cd-kl  |                                              |                 1 | Kwilu                                              | Q559537
 cd-kn  |                                              |                 1 | Kinshasa                                           | Q3838
 cd-ks  | Kasai                                        |                 1 | Kasaï                                              | Q255655
 cd-lo  |                                              |                 1 | Lomami                                             | Q241886
 cd-lu  |                                              |                 1 | Lualaba                                            | Q130684
 cd-ma  | Maniema                                      |                 1 | Maniema                                            | Q130566
 cd-mn  |                                              |                 1 | Mai-Ndombe                                         | Q130679
 cd-mo  |                                              |                 1 | Mongala                                            | Q847527
 cd-nk  | North Kivu                                   |                 1 | Nord-Kivu                                          | Q130625
 cd-nu  |                                              |                 1 | Nord-Ubangi                                        | Q843312
 cd-sa  |                                              |                 1 | Sankuru                                            | Q209829
 cd-sk  | South Kivu                                   |                 1 | Sud-Kivu                                           | Q488326
 cd-su  |                                              |                 1 | Sud-Ubangi                                         | Q834551
 cd-ta  |                                              |                 1 | Tanganyika                                         | Q826585
 cd-to  |                                              |                 1 | Tshopo                                             | Q630900
 cd-tu  |                                              |                 1 | Tshuapa                                            | Q427246
 cf     | Central African Republic                     |                 1 | Ködörösêse tî Bêafrîka - République Centrafricaine | Q929
 cf-ac  |                                              |                 1 | Ouham                                              | Q726620
 cf-bb  |                                              |                 1 | Bamingui-Bangoran                                  | Q741025
 cf-bgf |                                              |                 1 | Bangui                                             | Q3832
 cf-bk  |                                              |                 1 | Basse-Kotto                                        | Q810484
 cf-hk  |                                              |                 1 | Haute-Kotto                                        | Q848596
 cf-hm  |                                              |                 1 | Haut-Mbomou                                        | Q848578
 cf-hs  |                                              |                 1 | Mambéré-Kadéï                                      | Q848567
 cf-kb  |                                              |                 1 | Nana-Grébizi                                       | Q856227
 cf-kg  |                                              |                 1 | Kémo                                               | Q848572
 cf-lb  |                                              |                 1 | Lobaye                                             | Q821037
 cf-mb  |                                              |                 1 | Mbomou                                             | Q848582
 cf-mp  |                                              |                 1 | Ombella M'Poko                                     | Q378970
 cf-nm  |                                              |                 1 | Nana-Mambéré                                       | Q742455
 cf-op  |                                              |                 1 | Ouham-Pendé                                        | Q848591
 cf-se  |                                              |                 1 | Sangha-Mbaéré                                      | Q856237
 cf-uk  |                                              |                 1 | Ouaka                                              | Q848560
 cf-vk  |                                              |                 1 | Vakaga                                             | Q848585
 cg     | Congo-Brazzaville                            |                 1 | Congo                                              | Q971
 cg-11  |                                              |                 1 | Bouenza                                            | Q827015
 cg-12  |                                              |                 1 | Pool                                               | Q864647
 cg-13  |                                              |                 1 | Sangha                                             | Q775410
 cg-14  |                                              |                 1 | Plateaux                                           | Q765370
 cg-15  |                                              |                 1 | Cuvette-Ouest                                      | Q125711
