select iso, name_en,area_pct,name,wikidata from osm_admin2_continent_all order by iso ;
  iso   |                 name_en                 |     area_pct      |                             name                              | wikidata  
--------+-----------------------------------------+-------------------+---------------------------------------------------------------+-----------
 ae     | United Arab Emirates                    |                 1 | الإمارات العربية المتحدة                                      | Q878
 ae-aj  | Ajman                                   |                 1 | عجمان                                                         | Q159477
 ae-az  | Abu Dhabi                               |                 1 | أبو ظبي                                                       | Q187712
 ae-du  | Dubai                                   |                 1 | دبي‎                                                           | Q613
 ae-fu  | Fujairah                                |                 1 | فجيرة                                                         | Q4091
 ae-rk  | Ras al-Khaimah                          |                 1 | ‏رأس الخيمة‎                                                    | Q170024
 ae-sh  | Sharjah                                 |                 1 | الشارقة                                                       | Q188810
 ae-uq  | Umm al-Quwain                           |                 1 | ‏أم القيوين‎                                                    | Q175021
 af     | Afghanistan                             |                 1 | افغانستان                                                     | Q889
 af-bal | Balkh                                   |                 1 | بلخ                                                           | Q121104
 af-bam | Bamyan                                  |                 1 | بامیان                                                        | Q171382
 af-bdg | Badghis                                 |                 1 | بادغیس                                                        | Q172052
 af-bds | Badakhshan                              |                 1 | ولایت بدخشان                                                  | Q165376
 af-bgl | Baghlan                                 |                 1 | بغلان                                                         | Q170309
 af-day | Daykundi                                |                 1 | دایکندی                                                       | Q181220
 af-fra | Farah                                   |                 1 | فراه                                                          | Q180330
 af-fyb | Faryab                                  |                 1 | فاریاب                                                        | Q173830
 af-gha | Ghazni                                  |                 1 | غزني                                                          | Q180415
 af-gho | Ghor                                    |                 1 | غور                                                           | Q186392
 af-hel | Helmand                                 |                 1 | هلمند                                                         | Q173821
 af-her | Herat                                   |                 1 | هرات                                                          | Q182844
 af-jow | Jowzjan                                 |                 1 | ولایت جوزجان                                                  | Q183036
 af-kab | Kabul                                   |                 1 | كابل                                                          | Q188933
 af-kan | Kandahar                                |                 1 | کندهار - قندهار                                               | Q173808
 af-kap | Kapisa                                  |                 1 | کاپیس                                                         | Q173816
 af-kdz | Kunduz                                  |                 1 | کندز                                                          | Q186418
 af-kho | Khost                                   |                 1 | خوست                                                          | Q185752
 af-knr | Kunar                                   |                 1 | کونړ                                                          | Q188147
 af-lag | Laghman                                 |                 1 | لغمان                                                         | Q185442
 af-log | Logar                                   |                 1 | لوګر                                                          | Q6667298
 af-nan | Nangarhar                               |                 1 | ننگرهار                                                       | Q178471
 af-nim | Nimruz                                  |                 1 | نیمروز                                                        | Q183021
 af-nur | Nuristan                                |                 1 | نورستان                                                       | Q167485
 af-pan | Panjshir                                |                 1 | پنجشیر                                                        | Q181235
 af-par | Parwan                                  |                 1 | پروان                                                         | Q188157
 af-pia | Paktia                                  |                 1 | پکتيا                                                         | Q182493
 af-pka | Paktika                                 |                 1 | پکتیکا                                                        | Q185575
 af-sam | Samangan                                |                 1 | سمنگان‎                                                        | Q183015
 af-sar | Sar-e Pol                               |                 1 | سرپل                                                          | Q182487
 af-tak | Takhar                                  |                 1 | تخار‎‎                                                          | Q186395
 af-uru | Urōzgān                                 |                 1 | روزگان                                                        | Q183028
 af-war | Maidan Wardak                           |                 1 | ميدان وردگ                                                    | Q183056
 af-zab | Zabul                                   |                 1 | زابل                                                          | Q139126
 am     | Armenia                                 |                 1 | Հայաստան                                                      | Q399
 am-ag  | Aragatsotn Province                     |                 1 | Արագածոտնի մարզ                                               | Q17915
 am-ar  | Ararat Province                         |                 1 | Արարատի մարզ                                                  | Q199880
 am-av  | Armavir Province                        |                 1 | Արմավիրի մարզ                                                 | Q201147
 am-er  | Yerevan                                 |                 1 | Երևան                                                         | Q1953
 am-gr  | Gegharkunik Province                    |                 1 | Գեղարքունիքի մարզ                                             | Q199905
 am-kt  | Kotayk Province                         |                 1 | Կոտայքի մարզ                                                  | Q4511
 am-lo  | Lori Province                           |                 1 | Լոռու մարզ                                                    | Q200350
 am-sh  | Shirak Province                         |                 1 | Շիրակի մարզ                                                   | Q201063
 am-su  | Syunik Province                         |                 1 | Սյունիք                                                       | Q2523428
 am-tv  | Tavush Province                         |                 1 | Տավուշի մարզ                                                  | Q201140
 am-vd  | Vayots Dzor Province                    |                 1 | Վայոց ձորի մարզ                                               | Q200124
 az     | Azerbaijan                              |                 1 | Azərbaycan                                                    | Q227
 az-abs | Absheron District                       |                 1 | Abşeron rayonu                                                | Q179538
 az-aga | Agstafa                                 |                 1 | Ağstafa rayonu                                                | Q275744
 az-agc | Aghjabadi District                      |                 1 | Ağcabədi rayonu                                               | Q330818
 az-agm | Agdam District                          |                 1 | Ağdam rayonu                                                  | Q201647
 az-ags | Agdash District                         |                 1 | Ağdaş rayonu                                                  | Q275784
 az-agu | Agsu District                           |                 1 | Ağsu rayonu                                                   | Q330800
 az-ast | Astara District                         |                 1 | Astara rayonu                                                 | Q269680
 az-ba  | Baku                                    |                 1 | Bakı İnzibati Ərazisi                                         | Q9248
 az-bab | Babek District                          |                 1 | Babək rayonu                                                  | Q643895
 az-bal | Balakan                                 |                 1 | Balakən rayonu                                                | Q330850
