select iso, name_en,area_pct,name,wikidata from osm_admin2_continent_all order by iso ;
  iso   |                     name_en                     |     area_pct      |                                name                                 | wikidata  
--------+-------------------------------------------------+-------------------+---------------------------------------------------------------------+-----------
 ar     | Argentina                                       |                 1 | Argentina                                                           | Q414
 ar-a   |                                                 |                 1 | Salta                                                               | Q44803
 ar-b   | Buenos Aires                                    |                 1 | Buenos Aires                                                        | Q44754
 ar-c   | Autonomous City of Buenos Aires                 |                 1 | Ciudad Autónoma de Buenos Aires                                     | Q1486
 ar-d   |                                                 |                 1 | San Luis                                                            | Q44818
 ar-e   |                                                 |                 1 | Entre Ríos                                                          | Q44762
 ar-f   |                                                 |                 1 | La Rioja                                                            | Q44796
 ar-g   |                                                 |                 1 | Santiago del Estero                                                 | Q44827
 ar-h   |                                                 |                 1 | Chaco                                                               | Q44757
 ar-j   |                                                 |                 1 | San Juan                                                            | Q44805
 ar-k   |                                                 |                 1 | Catamarca                                                           | Q44756
 ar-l   |                                                 |                 1 | La Pampa                                                            | Q44795
 ar-m   |                                                 |                 1 | Mendoza                                                             | Q44797
 ar-n   |                                                 |                 1 | Misiones                                                            | Q44798
 ar-p   |                                                 |                 1 | Formosa                                                             | Q44761
 ar-q   |                                                 |                 1 | Neuquén                                                             | Q44800
 ar-r   |                                                 |                 1 | Río Negro                                                           | Q44802
 ar-s   |                                                 |                 1 | Santa Fe                                                            | Q44823
 ar-t   |                                                 |                 1 | Tucumán                                                             | Q44829
 ar-u   |                                                 |                 1 | Chubut                                                              | Q45007
 ar-v   |                                                 |                 1 | Tierra del Fuego                                                    | Q44832
 ar-w   |                                                 |                 1 | Corrientes                                                          | Q44758
 ar-x   | Córdoba                                         |                 1 | Córdoba                                                             | Q44759
 ar-y   |                                                 |                 1 | Jujuy                                                               | Q44764
 ar-z   |                                                 |                 1 | Santa Cruz                                                          | Q44821
 bo     | Bolivia                                         |                 1 | Bolivia                                                             | Q750
 bo-b   |                                                 |                 1 | Beni                                                                | Q233169
 bo-c   |                                                 |                 1 | Cochabamba                                                          | Q233917
 bo-h   |                                                 |                 1 | Chuquisaca                                                          | Q235110
 bo-l   |                                                 |                 1 | La Paz                                                              | Q272784
 bo-n   |                                                 |                 1 | Pando                                                               | Q235362
 bo-o   |                                                 |                 1 | Oruro                                                               | Q1061368
 bo-p   |                                                 |                 1 | Potosí                                                              | Q238079
 bo-s   |                                                 |                 1 | Santa Cruz                                                          | Q235106
 bo-t   |                                                 |                 1 | Tarija                                                              | Q233933
 br     | Brazil                                          |                 1 | Brasil                                                              | Q155
 br-ac  | Acre                                            |                 1 | Acre                                                                | Q40780
 br-al  | Alagoas                                         |                 1 | Alagoas                                                             | Q40885
 br-am  | Amazonas                                        |                 1 | Amazonas                                                            | Q40040
 br-ap  | Amapá                                           |                 1 | Amapá                                                               | Q40130
 br-ba  | Bahia                                           |                 1 | Bahia                                                               | Q40430
 br-ce  | Ceará                                           |                 1 | Ceará                                                               | Q40123
 br-df  | Federal District                                |                 1 | Distrito Federal                                                    | Q119158
 br-es  | Espírito Santo                                  |                 1 | Espírito Santo                                                      | Q43233
 br-go  | Goiás                                           |                 1 | Goiás                                                               | Q41587
 br-ma  | Maranhão                                        |                 1 | Maranhão                                                            | Q42362
 br-mg  | Minas Gerais                                    |                 1 | Minas Gerais                                                        | Q39109
 br-ms  | Mato Grosso do Sul                              |                 1 | Mato Grosso do Sul                                                  | Q43319
 br-mt  | Mato Grosso                                     |                 1 | Mato Grosso                                                         | Q42824
 br-pa  | Pará                                            |                 1 | Pará                                                                | Q39517
 br-pb  | Paraíba                                         |                 1 | Paraíba                                                             | Q38088
 br-pe  | Pernambuco                                      |                 1 | Pernambuco                                                          | Q40942
 br-pi  | Piauí                                           |                 1 | Piauí                                                               | Q42722
 br-pr  | Paraná                                          |                 1 | Paraná                                                              | Q15499
 br-rj  | Rio de Janeiro                                  |                 1 | Rio de Janeiro                                                      | Q41428
 br-rn  | Rio Grande do Norte                             |                 1 | Rio Grande do Norte                                                 | Q43255
 br-ro  | Rondônia                                        |                 1 | Rondônia                                                            | Q43235
 br-rr  | Roraima                                         |                 1 | Roraima                                                             | Q42508
 br-rs  | Rio Grande do Sul                               |                 1 | Rio Grande do Sul                                                   | Q40030
 br-sc  | Santa Catarina                                  |                 1 | Santa Catarina                                                      | Q41115
 br-se  | Sergipe                                         |                 1 | Sergipe                                                             | Q43783
 br-sp  | São Paulo                                       |                 1 | São Paulo                                                           | Q175
 br-to  | Tocantins                                       |                 1 | Tocantins                                                           | Q43695
 ck     | Cook Islands                                    |                 1 | Kūki 'Āirani                                                        | Q26988
 cl     | Chile                                           |                 1 | Chile                                                               | Q298
 cl-ai  |                                                 |                 1 | XI Región Aysén del General Carlos Ibáñez del Campo                 | Q2181
 cl-an  |                                                 |                 1 | II Región de Antofagasta                                            | Q2118
 cl-ap  |                                                 |                 1 | XV Región de Arica y Parinacota                                     | Q2109
 cl-ar  |                                                 |                 1 | IX Región de la Araucanía                                           | Q2176
 cl-at  |                                                 |                 1 | III Región de Atacama                                               | Q2120
 cl-bi  |                                                 |                 1 | VIII Región del Biobío                                              | Q2170
